N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
119,한전기술,"63,200",300,-0.47%,200,"24,155","38,220",3.60,"63,857",119.02,3.25,
120,에스디바이오센서,"23,000",650,-2.75%,500,"24,024","104,452",14.93,"565,996",1.74,72.47,
121,코스모신소재,"77,500","5,200",+7.19%,"1,000","23,754","30,651",7.07,"2,172,417",82.98,9.42,
122,휠라홀딩스,"39,000",450,+1.17%,"1,000","23,693","60,752",44.79,"147,786",11.00,16.20,
123,한화시스템,"12,370",30,-0.24%,"5,000","23,369","188,919",3.36,"677,543",-257.71,6.04,
124,한솔케미칼,"204,500","5,100",+2.56%,"5,000","23,180","11,335",40.39,"37,797",16.22,23.88,
125,제일기획,"20,000",20,+0.10%,200,"23,008","115,041",33.01,"447,479",11.67,15.58,
126,한미사이언스,"32,550",850,+2.68%,500,"22,771","69,957",2.02,"91,397",44.90,6.37,
127,LG화학우,"294,000","3,000",+1.03%,"5,000","22,605","7,689",69.68,"31,549",10.35,N/A,
128,두산퓨얼셀,"34,400",450,+1.33%,100,"22,530","65,494",15.59,"250,699",688.00,1.69,
129,금양,"38,500",550,-1.41%,500,"22,349","58,050",3.60,"4,468,296",127.06,13.57,
130,HL만도,"47,450","1,150",+2.48%,"1,000","22,281","46,957",22.94,"324,242",10.51,9.31,
131,농심,"366,000","3,000",+0.83%,"5,000","22,262","6,083",15.87,"12,304",19.15,4.73,
132,현대차우,"92,200","1,000",+1.10%,"5,000","22,232","24,113",59.42,"76,568",4.11,N/A,
133,BNK금융지주,"6,700",20,-0.30%,"5,000","21,838","325,935",36.45,"879,900",2.69,8.76,
134,KCC,"245,500","3,000",-1.21%,"5,000","21,816","8,886",12.54,"46,730",-7.88,-0.92,
135,LS,"67,400",100,+0.15%,"5,000","21,703","32,200",13.56,"111,568",5.42,8.15,
136,OCI,"90,800","1,800",-1.94%,"5,000","21,655","23,849",16.81,"198,302",2.69,23.93,
