가구일련번호,향후거주의향,입력된가구원수계,나이,주택형태,성별,교육정도,혼인상태,지역 거주기간,통근시간(분),월평균가구소득
F00179,4,3,58,3,1,4,2,50,50,5
F00180,3,4,35,,1,5,1,23,20,
F00180,3,4,36,,1,5,1,33,40,
F00180,5,4,60,,2,4,2,33,40,
F00180,3,4,62,3,1,4,2,33,20,8
F00181,1,4,30,,2,5,1,30,,
F00181,2,4,32,,2,4,1,32,,
F00181,5,4,53,,2,4,2,30,30,
F00181,3,4,59,3,1,5,2,34,,10
F00182,5,2,65,,2,3,2,45,,
F00182,5,2,71,3,1,4,2,71,,3
F00183,3,4,28,,2,7,1,15,15,
F00183,5,4,34,,1,5,1,29,30,
F00183,3,4,58,,2,3,2,30,10,
F00183,5,4,64,3,1,4,2,30,30,8
F00184,4,1,59,1,1,4,1,30,,1
F00185,5,2,59,,2,2,2,37,,
F00185,5,2,64,3,1,2,2,37,,4
F00186,2,3,27,,1,6,1,27,,
F00186,3,3,53,,2,4,2,34,,
F00186,3,3,55,1,1,4,2,50,30,5
F00187,3,2,32,,1,6,1,10,30,
F00187,4,2,59,1,2,3,3,10,,4
F00188,5,1,72,1,2,2,3,40,,2
F00189,3,1,26,1,1,5,1,2,,2
F00190,4,3,39,,1,6,1,39,15,
F00190,5,3,67,,2,2,2,61,,
F00190,5,3,72,1,1,3,2,56,,6
F00191,4,2,74,,2,3,2,41,,
F00191,5,2,83,1,1,4,2,41,,2
F00192,5,2,51,,2,5,2,16,30,
F00192,4,2,51,1,1,5,2,16,,3
F00193,4,4,18,,1,4,1,18,30,
F00193,4,4,20,,1,6,1,20,20,
F00193,4,4,54,,2,6,2,54,10,
F00193,4,4,59,1,1,6,2,30,10,5
F00194,5,1,60,1,1,4,1,60,,2
F00195,4,1,59,3,2,4,4,37,,2
F00196,4,2,43,,1,6,1,43,20,
F00196,4,2,67,3,2,3,3,47,,5
F00197,5,1,64,3,2,2,3,64,5,3
F00198,3,1,50,3,1,4,1,50,30,3
F00199,4,2,51,,2,5,2,22,30,
F00199,5,2,53,3,1,6,2,22,10,9
F00200,3,1,71,3,1,4,1,18,,1
F00201,3,2,21,,1,4,1,21,30,
F00201,4,2,52,3,2,4,2,30,30,4
F00202,3,4,22,,2,6,1,22,40,
F00202,3,4,26,,1,6,1,23,20,
F00202,2,4,50,,2,4,2,23,40,
F00202,2,4,52,3,1,4,2,23,40,6
F00203,4,1,71,1,1,3,4,22,40,2
F00204,5,1,65,1,2,3,4,7,20,3
F00205,3,1,30,1,2,6,1,7,30,3
F00206,1,1,74,1,2,4,3,15,,3
